Client,AP,Band,Date time,staName,alias,txBitrate,rxBitrate,ulthroughput,dlthroughput,channelFreq,txPower,txPer,txPfr,txPrr,signalStrength,time_axis,bssid,ssid
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,2.4,2019-03-28 11:21:31,,,216,216,0,0,2437,20,0,0,0,-35.0,1553786491268,04:bf:6d:5e:11:78,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,2.4,2019-03-28 11:39:01,,,215,175,0,0,2412,20,0,0,0,-42.0,1553787541318,04:bf:6d:5e:11:78,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,2.4,2019-03-28 11:41:31,,,214,173,88536,77216,2437,20,0,0,0,-35.0,1553787691265,04:bf:6d:5e:11:78,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,2.4,2019-03-28 11:42:31,,,204,174,96408,123000,2437,20,0,0,0,-38.0,1553787751307,04:bf:6d:5e:11:78,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,2.4,2019-03-28 11:43:31,,,182,195,88552,61736,2437,20,0,0,0,-35.0,1553787811254,04:bf:6d:5e:11:78,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:23:31,,,450,450,0,0,5765,22,0,0,0,-40.0,1553786611265,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:24:31,,,450,450,230472,40568,5765,22,0,0,0,-40.0,1553786671332,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:25:31,,,450,450,261312,125352,5765,22,0,0,0,-39.0,1553786731261,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:26:31,,,450,375,245368,65512,5765,22,0,0,0,-39.0,1553786791327,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:27:31,,,450,332,427376,324336,5765,22,0,0,0,-40.0,1553786851256,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:28:31,,,450,387,396536,468728,5765,22,0,0,0,-39.0,1553786911310,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:29:31,,,450,285,310696,90152,5765,22,0,0,0,-40.0,1553786971261,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:30:31,,,450,300,297600,150048,5765,22,0,0,0,-39.0,1553787031305,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:31:31,,,450,450,525992,420480,5765,22,0,0,0,-40.0,1553787091260,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:44:31,,,387,450,705592,64232,5765,22,0,0,0,-39.0,1553787871314,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:45:31,,,450,450,592008,84792,5765,22,0,0,0,-39.0,1553787931259,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:46:31,,,450,450,587168,73512,5765,22,0,0,0,-39.0,1553787991311,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:47:31,,,450,450,690744,165632,5765,22,0,0,0,-39.0,1553788051254,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:48:31,,,450,450,954912,794592,5765,22,0,0,0,-39.0,1553788111334,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 11:59:01,,,450,450,0,0,5240,16,0,0,0,-44.0,1553788741298,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:01:31,,,450,450,0,0,5765,22,0,0,0,-40.0,1553788891257,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:03:01,,,450,450,0,0,5765,22,0,0,0,-40.0,1553788981301,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:04:01,,,450,450,0,0,5765,22,0,0,0,-39.0,1553789041238,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:05:01,,,450,450,0,0,5765,22,0,0,0,-39.0,1553789101286,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:06:01,,,450,450,951232,1812792,5765,22,0,0,0,-39.0,1553789161243,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:07:01,,,450,450,111160,201208,5765,22,0,0,0,-39.0,1553789221302,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:08:01,,,450,450,135136,104728,5765,22,0,0,0,-39.0,1553789281253,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:20:01,,,450,450,0,0,5240,16,0,0,0,-47.0,1553790001266,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:21:31,,,450,450,767712,4371544,5785,22,0,0,0,-39.0,1553790091261,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:22:31,,,450,450,549168,3513504,5785,22,0,0,0,-39.0,1553790151349,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:23:31,,,450,450,833648,3844160,5785,22,0,0,0,-39.0,1553790211254,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:24:31,,,450,450,1008456,5526904,5785,22,0,0,0,-39.0,1553790271296,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:25:31,,,450,450,487808,3558080,5785,22,0,0,0,-39.0,1553790331253,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:26:31,,,450,450,647136,3772432,5785,22,0,0,0,-39.0,1553790391310,04:bf:6d:5e:11:79,Synchro_SON
e4:ce:8f:04:cb:ee,04:bf:6d:5e:11:7b,5.0,2019-03-28 12:27:31,,,450,450,667936,4868360,5785,22,0,0,0,-39.0,1553790451259,04:bf:6d:5e:11:79,Synchro_SON
